image_id,timestamp,ground_truth,predicted_class,confidence,x1,y1,x2,y2,conf_threshold,correct,notes
test01,2026-09-05T10:00:16,chip_bag,person,0.3898,109,125,439,480,0.25,wrong,
test02,2026-09-05T10:00:18,chip_bag,person,0.4249,115,120,442,479,0.25,wrong,
test03,2026-09-05T10:00:46,chip_bag,suitcase,0.363,0,124,299,474,0.25,wrong,
test03,2026-09-05T10:00:46,chip_bag,backpack,0.3223,0,124,299,471,0.25,wrong,
test04,2026-09-05T10:01:08,chip_bag,NO_DETECTION,,,,,,0.25,miss,
test05,2026-09-05T10:01:10,chip_bag,NO_DETECTION,,,,,,0.25,miss,
test06,2026-09-05T10:01:34,pepper_shaker,bottle,0.7572,210,177,353,424,0.25,partial,
test07,2026-09-05T10:01:57,pepper_shaker,bottle,0.8391,182,249,332,479,0.25,partial,
test08,2026-09-05T10:02:06,pepper_shaker,bottle,0.6676,111,66,360,479,0.25,partial,
test09,2026-09-05T10:02:10,pepper_shaker,bottle,0.8776,34,0,359,478,0.25,partial,
test10,2026-09-05T10:02:13,pepper_shaker,bottle,0.7935,171,270,314,479,0.25,partial,
test11,2026-09-05T10:02:25,earphone_case,mouse,0.5479,232,65,498,175,0.25,wrong,
test12,2026-09-05T10:02:51,earphone_case,mouse,0.9694,271,80,578,274,0.25,wrong,
test13,2026-09-05T10:02:55,earphone_case,mouse,0.8756,228,80,530,272,0.25,wrong,
test14,2026-09-05T10:02:57,earphone_case,mouse,0.4002,195,79,548,234,0.25,wrong,
test15,2026-09-05T10:02:58,earphone_case,mouse,0.3245,195,79,548,234,0.25,wrong,
test16,2026-09-05T10:03:22,earphone_case,cup,0.3559,158,7,589,279,0.25,wrong,
test17,2026-09-05T10:03:23,earphone_case,cup,0.3046,159,6,591,280,0.25,wrong,
test17,2026-09-05T10:03:23,earphone_case,mouse,0.2722,158,6,596,279,0.25,wrong,
